The QURAN
A Clash of Kings
A Game of Thrones
A Storm of Swords
A Tale of Two Cities
A Thousand Splendid Suns
Adventures of Huckleberry Finn
Angels & Demons
Beloved
Brave New World
Catch-22
Catching Fire
Charlotte's Web
Cloud Atlas
Do Androids Dream of Electric Sheep?
Don Quixote
Dracula
Dune
Ender's Game
Fahrenheit 451
For Whom the Bell Tolls
Foundation
Frankenstein
Gone Girl
Great Expectations
Harry Potter and the Chamber of Secrets
Harry Potter and the Deathly Hallows
Harry Potter and the Goblet of Fire
Harry Potter and the Half-Blood Prince
Harry Potter and the Order of the Phoenix
Harry Potter and the Philosopher's Stone
Harry Potter and the Prisoner of Azkaban
"I, Robot"
Invisible Man
It
Jane Eyre
Les Mis?ables
Life of Pi
Lolita
Looking for Alaska
Lord of the Flies
Misery
Mistborn: The Final Empire
Moby-Dick
Mockingjay
Neuromancer
Of Mice and Men
Oliver Twist
One Flew Over the Cuckoo's Nest
Pet Sematary
Pride and Prejudice
Project Hail Mary
Ready Player One
Rebecca
Slaughterhouse-Five
The Adventures of Tom Sawyer
The Alchemist
The Book Thief
The Catcher in the Rye
The Chronicles of Narnia
The Color Purple
The Count of Monte Cristo
The Da Vinci Code
The Fault in Our Stars
The Girl with the Dragon Tattoo
The Giver
The Goldfinch
The Grapes of Wrath
The Great Gatsby
The Handmaid's Tale
The Hobbit
The Hunger Games
The Iliad
The Kite Runner
The Last Unicorn
"The Lion, the Witch and the Wardrobe"
The Lord of the Rings
The Martian
The Maze Runner
The Name of the Wind
The Odyssey
The Old Man and the Sea
The Once and Future King
The Picture of Dorian Gray
The Road
The Scarlet Letter
The Secret History
The Shining
The Silent Patient
The Silmarillion
The Sun Also Rises
The Three Musketeers
The Time Machine
The War of the Worlds
The Way of Kings
To Kill a Mockingbird
Treasure Island
Watership Down
Wuthering Heights
jahid
Animal Farm
1984
